  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.750  -0.3618   0.09160   0.08812  -0.0402   1.0000   0.0754
  -8.500  -0.3854   0.08972   0.08634  -0.0403   1.0000   0.0778
  -8.250  -0.4159   0.08876   0.08551  -0.0376   1.0000   0.0785
  -8.000  -0.4464   0.08762   0.08450  -0.0346   1.0000   0.0787
  -7.750  -0.4580   0.08332   0.08017  -0.0415   0.9972   0.0795
  -7.500  -0.4389   0.07577   0.07235  -0.0533   0.9906   0.0800
  -7.250  -0.4346   0.06728   0.06401  -0.0546   0.9869   0.0829
  -7.000  -0.4082   0.06619   0.06293  -0.0539   0.9836   0.0856
  -6.750  -0.3804   0.06232   0.05898  -0.0590   0.9798   0.0892
  -6.500  -0.3491   0.05711   0.05304  -0.0718   0.9701   0.0998
  -6.250  -0.3401   0.04844   0.04432  -0.0749   0.9632   0.1027
  -6.000  -0.3076   0.04562   0.04152  -0.0776   0.9605   0.1050
  -5.750  -0.2949   0.03530   0.03022  -0.0792   0.9497   0.0749
  -5.500  -0.2656   0.03018   0.02451  -0.0814   0.9452   0.0695
  -5.250  -0.2296   0.02551   0.01884  -0.0833   0.9424   0.0623
  -5.000  -0.1884   0.02386   0.01687  -0.0860   0.9405   0.0615
  -4.750  -0.1664   0.02252   0.01532  -0.0850   0.9314   0.0614
  -4.500  -0.1309   0.02063   0.01320  -0.0866   0.9273   0.0623
  -4.250  -0.0938   0.01915   0.01159  -0.0884   0.9242   0.0645
  -4.000  -0.0557   0.01819   0.01058  -0.0904   0.9214   0.0674
  -3.750  -0.0302   0.01762   0.00997  -0.0898   0.9132   0.0700
  -3.500   0.0015   0.01695   0.00925  -0.0903   0.9072   0.0729
  -3.250   0.0360   0.01628   0.00851  -0.0913   0.9031   0.0759
  -3.000   0.0665   0.01579   0.00796  -0.0916   0.8971   0.0788
  -2.750   0.0919   0.01510   0.00731  -0.0909   0.8879   0.0855
  -2.500   0.1241   0.01447   0.00668  -0.0912   0.8821   0.0973
  -2.250   0.1474   0.01359   0.00609  -0.0902   0.8725   0.1524
  -2.000   0.1740   0.01283   0.00579  -0.0899   0.8645   0.2695
  -1.750   0.2008   0.01236   0.00555  -0.0895   0.8567   0.3469
  -1.500   0.2244   0.01186   0.00539  -0.0884   0.8465   0.4404
  -1.250   0.2474   0.01108   0.00521  -0.0869   0.8387   0.6062
  -1.000   0.2650   0.01049   0.00531  -0.0836   0.8278   0.8083
  -0.750   0.3121   0.01030   0.00518  -0.0862   0.8217   0.9318
  -0.500   0.3742   0.01026   0.00505  -0.0928   0.8140   0.9890
  -0.250   0.4175   0.01016   0.00482  -0.0959   0.8047   1.0000
   0.000   0.4419   0.01017   0.00471  -0.0951   0.7946   1.0000
   0.250   0.4665   0.01017   0.00459  -0.0943   0.7840   1.0000
   0.500   0.4909   0.01021   0.00454  -0.0935   0.7737   1.0000
   0.750   0.5159   0.01023   0.00445  -0.0927   0.7634   1.0000
   1.000   0.5403   0.01029   0.00444  -0.0919   0.7526   1.0000
   1.250   0.5657   0.01033   0.00437  -0.0912   0.7422   1.0000
   1.500   0.5895   0.01041   0.00439  -0.0902   0.7300   1.0000
   1.750   0.6153   0.01046   0.00433  -0.0895   0.7190   1.0000
   2.000   0.6388   0.01053   0.00437  -0.0885   0.7054   1.0000
   2.250   0.6634   0.01062   0.00439  -0.0877   0.6927   1.0000
