  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =    10.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -20.000  -1.5695   0.03417   0.03155  -0.0937   1.0000   0.0034
 -19.750  -1.5821   0.02983   0.02711  -0.0968   1.0000   0.0035
 -19.500  -1.5878   0.02718   0.02437  -0.0972   1.0000   0.0036
 -19.250  -1.5897   0.02533   0.02244  -0.0962   1.0000   0.0036
 -19.000  -1.5881   0.02400   0.02105  -0.0943   1.0000   0.0037
 -18.750  -1.5814   0.02291   0.01991  -0.0925   1.0000   0.0038
 -18.500  -1.5683   0.02193   0.01888  -0.0914   1.0000   0.0039
 -18.250  -1.5533   0.02107   0.01797  -0.0904   1.0000   0.0039
 -18.000  -1.5368   0.02029   0.01716  -0.0895   1.0000   0.0040
 -17.750  -1.5195   0.01959   0.01642  -0.0885   1.0000   0.0040
 -17.500  -1.5025   0.01895   0.01574  -0.0873   1.0000   0.0040
 -17.250  -1.4861   0.01836   0.01512  -0.0859   1.0000   0.0040
 -17.000  -1.4618   0.01774   0.01448  -0.0860   0.9994   0.0040
 -16.750  -1.4370   0.01715   0.01385  -0.0862   0.9985   0.0041
 -16.500  -1.4119   0.01654   0.01321  -0.0863   0.9973   0.0044
 -16.250  -1.3863   0.01595   0.01260  -0.0866   0.9959   0.0048
 -15.750  -1.3338   0.01479   0.01139  -0.0872   0.9921   0.0057
 -15.500  -1.3080   0.01421   0.01078  -0.0874   0.9895   0.0061
 -15.250  -1.2856   0.01364   0.01018  -0.0868   0.9853   0.0065
 -15.000  -1.2626   0.01311   0.00961  -0.0863   0.9803   0.0069
 -14.750  -1.2390   0.01261   0.00910  -0.0858   0.9763   0.0073
 -14.500  -1.2152   0.01221   0.00866  -0.0853   0.9708   0.0076
 -14.250  -1.1902   0.01186   0.00828  -0.0850   0.9663   0.0078
 -14.000  -1.1652   0.01154   0.00793  -0.0846   0.9605   0.0079
 -13.750  -1.1393   0.01123   0.00760  -0.0844   0.9572   0.0079
 -13.500  -1.1133   0.01094   0.00728  -0.0841   0.9514   0.0080
 -13.250  -1.0875   0.01067   0.00698  -0.0838   0.9426   0.0080
 -13.000  -1.0612   0.01036   0.00665  -0.0836   0.9379   0.0087
 -12.750  -1.0353   0.01001   0.00629  -0.0834   0.9320   0.0096
 -12.500  -1.0101   0.00961   0.00588  -0.0831   0.9221   0.0105
 -12.250  -0.9840   0.00924   0.00551  -0.0829   0.9171   0.0113
 -12.000  -0.9575   0.00897   0.00523  -0.0827   0.9096   0.0120
 -11.750  -0.9308   0.00874   0.00498  -0.0825   0.8994   0.0143
 -11.500  -0.9039   0.00846   0.00475  -0.0824   0.8932   0.0166
 -11.250  -0.8767   0.00832   0.00461  -0.0823   0.8818   0.0178
 -11.000  -0.8489   0.00817   0.00446  -0.0823   0.8758   0.0182
 -10.750  -0.8212   0.00804   0.00431  -0.0822   0.8664   0.0185
 -10.500  -0.7933   0.00791   0.00415  -0.0822   0.8581   0.0187
 -10.250  -0.7654   0.00779   0.00401  -0.0822   0.8507   0.0188
 -10.000  -0.7376   0.00768   0.00387  -0.0821   0.8397   0.0190
  -9.750  -0.7094   0.00754   0.00372  -0.0821   0.8339   0.0191
  -9.500  -0.6815   0.00744   0.00358  -0.0821   0.8232   0.0192
  -9.250  -0.6533   0.00731   0.00344  -0.0821   0.8166   0.0193
  -9.000  -0.6252   0.00721   0.00331  -0.0821   0.8080   0.0193
  -8.750  -0.5971   0.00709   0.00317  -0.0821   0.7988   0.0194
  -8.500  -0.5689   0.00698   0.00303  -0.0821   0.7908   0.0195
  -8.250  -0.5409   0.00688   0.00288  -0.0821   0.7778   0.0195
  -8.000  -0.5129   0.00680   0.00276  -0.0820   0.7633   0.0195
  -7.750  -0.4845   0.00672   0.00266  -0.0821   0.7539   0.0196
  -7.500  -0.4562   0.00668   0.00259  -0.0821   0.7414   0.0197
  -6.750  -0.3706   0.00649   0.00237  -0.0823   0.7145   0.0198
  -6.500  -0.3420   0.00651   0.00238  -0.0824   0.7034   0.0198
  -6.250  -0.3137   0.00636   0.00220  -0.0824   0.6961   0.0198
  -6.000  -0.2858   0.00622   0.00199  -0.0823   0.6846   0.0199
  -5.750  -0.2575   0.00610   0.00183  -0.0823   0.6751   0.0199
  -5.500  -0.2294   0.00602   0.00169  -0.0823   0.6599   0.0199
  -5.250  -0.2010   0.00594   0.00157  -0.0823   0.6510   0.0199
  -5.000  -0.1726   0.00587   0.00146  -0.0823   0.6389   0.0199
  -4.750  -0.1442   0.00581   0.00137  -0.0823   0.6292   0.0199
  -4.500  -0.1157   0.00576   0.00128  -0.0824   0.6187   0.0200
  -4.250  -0.0872   0.00571   0.00121  -0.0824   0.6094   0.0200
  -4.000  -0.0588   0.00564   0.00111  -0.0824   0.5975   0.0237
  -3.750  -0.0306   0.00562   0.00106  -0.0824   0.5828   0.0259
  -3.500  -0.0020   0.00558   0.00101  -0.0825   0.5732   0.0274
  -3.250   0.0264   0.00557   0.00096  -0.0825   0.5600   0.0282
  -3.000   0.0551   0.00554   0.00093  -0.0826   0.5527   0.0287
  -2.750   0.0835   0.00554   0.00089  -0.0826   0.5398   0.0290
  -2.500   0.1122   0.00552   0.00086  -0.0827   0.5319   0.0292
  -2.250   0.1407   0.00553   0.00083  -0.0828   0.5194   0.0293
  -1.750   0.1977   0.00553   0.00078  -0.0829   0.4988   0.0296
  -1.500   0.2262   0.00554   0.00077  -0.0830   0.4882   0.0296
  -1.250   0.2547   0.00555   0.00075  -0.0830   0.4763   0.0297
  -1.000   0.2828   0.00559   0.00075  -0.0830   0.4591   0.0298
  -0.750   0.3107   0.00565   0.00075  -0.0830   0.4396   0.0298
  -0.500   0.3385   0.00572   0.00076  -0.0829   0.4188   0.0299
  -0.250   0.3663   0.00579   0.00077  -0.0829   0.3977   0.0299
   0.250   0.4218   0.00594   0.00082  -0.0828   0.3579   0.0369
   0.500   0.4493   0.00593   0.00083  -0.0827   0.3407   0.0606
   0.750   0.4771   0.00595   0.00086  -0.0827   0.3285   0.0793
   1.000   0.5050   0.00599   0.00088  -0.0827   0.3143   0.0950
   1.250   0.5324   0.00596   0.00092  -0.0826   0.2993   0.1389
   1.500   0.5603   0.00593   0.00095  -0.0826   0.2924   0.1781
   1.750   0.5883   0.00592   0.00098  -0.0827   0.2849   0.2131
   2.000   0.6165   0.00588   0.00102  -0.0827   0.2791   0.2509
   2.250   0.6445   0.00588   0.00106  -0.0828   0.2736   0.2848
   2.500   0.6725   0.00589   0.00111  -0.0828   0.2677   0.3148
   2.750   0.7006   0.00587   0.00115  -0.0829   0.2613   0.3569
   3.000   0.7287   0.00581   0.00120  -0.0830   0.2591   0.4071
   3.250   0.7555   0.00558   0.00127  -0.0830   0.2552   0.5597
   3.500   0.7827   0.00559   0.00135  -0.0829   0.2445   0.6181
   3.750   0.8104   0.00554   0.00141  -0.0829   0.2395   0.6776
   4.000   0.8376   0.00552   0.00150  -0.0829   0.2331   0.7397
   4.250   0.8632   0.00543   0.00161  -0.0825   0.2199   0.8493
   4.500   0.8881   0.00556   0.00176  -0.0819   0.1974   0.9040
   4.750   0.9113   0.00588   0.00199  -0.0811   0.1593   0.9363
   5.000   0.9356   0.00608   0.00215  -0.0804   0.1412   0.9624
   5.250   0.9605   0.00630   0.00231  -0.0798   0.1256   0.9812
   5.500   0.9896   0.00656   0.00249  -0.0802   0.1076   0.9915
   5.750   1.0209   0.00687   0.00268  -0.0812   0.0884   0.9974
   6.000   1.0516   0.00703   0.00280  -0.0820   0.0796   1.0000
   6.250   1.0772   0.00720   0.00294  -0.0816   0.0754   1.0000
   6.500   1.1022   0.00744   0.00312  -0.0811   0.0652   1.0000
   6.750   1.1283   0.00761   0.00325  -0.0808   0.0588   1.0000
   7.000   1.1526   0.00793   0.00349  -0.0803   0.0494   1.0000
   7.500   1.1985   0.00881   0.00416  -0.0787   0.0168   1.0000
   7.750   1.2242   0.00903   0.00435  -0.0784   0.0131   1.0000
   8.000   1.2500   0.00922   0.00453  -0.0781   0.0118   1.0000
   8.250   1.2752   0.00946   0.00475  -0.0778   0.0105   1.0000
   8.500   1.3000   0.00973   0.00500  -0.0773   0.0082   1.0000
   8.750   1.3255   0.00993   0.00519  -0.0771   0.0080   1.0000
   9.000   1.3508   0.01013   0.00538  -0.0768   0.0080   1.0000
   9.250   1.3760   0.01034   0.00557  -0.0764   0.0079   1.0000
