  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.000  -1.4421   0.03889   0.03633  -0.0883   1.0000   0.0044
 -18.750  -1.4620   0.03242   0.02969  -0.0945   1.0000   0.0045
 -18.500  -1.4704   0.02914   0.02629  -0.0960   1.0000   0.0046
 -18.250  -1.4743   0.02696   0.02402  -0.0953   1.0000   0.0049
 -18.000  -1.4745   0.02542   0.02240  -0.0935   1.0000   0.0052
 -17.750  -1.4689   0.02411   0.02101  -0.0918   1.0000   0.0055
 -17.500  -1.4588   0.02286   0.01969  -0.0906   1.0000   0.0059
 -17.250  -1.4467   0.02175   0.01851  -0.0893   1.0000   0.0062
 -17.000  -1.4340   0.02073   0.01743  -0.0879   1.0000   0.0065
 -16.750  -1.4216   0.01985   0.01651  -0.0861   1.0000   0.0068
 -16.500  -1.4101   0.01911   0.01572  -0.0839   1.0000   0.0071
 -16.250  -1.3902   0.01836   0.01492  -0.0833   0.9996   0.0074
 -16.000  -1.3648   0.01764   0.01417  -0.0837   0.9989   0.0076
 -15.750  -1.3388   0.01701   0.01350  -0.0841   0.9980   0.0077
 -15.500  -1.3120   0.01643   0.01288  -0.0845   0.9969   0.0078
 -15.250  -1.2847   0.01589   0.01230  -0.0850   0.9958   0.0079
 -15.000  -1.2568   0.01539   0.01176  -0.0856   0.9947   0.0080
 -14.750  -1.2283   0.01491   0.01125  -0.0862   0.9936   0.0080
 -14.500  -1.1997   0.01444   0.01074  -0.0868   0.9924   0.0081
 -14.250  -1.1715   0.01384   0.01013  -0.0874   0.9909   0.0090
 -14.000  -1.1465   0.01324   0.00951  -0.0874   0.9880   0.0099
 -13.750  -1.1223   0.01269   0.00897  -0.0870   0.9842   0.0107
 -13.500  -1.0967   0.01226   0.00853  -0.0869   0.9806   0.0114
 -13.250  -1.0719   0.01190   0.00817  -0.0865   0.9762   0.0119
 -13.000  -1.0471   0.01156   0.00781  -0.0861   0.9714   0.0135
 -12.750  -1.0215   0.01126   0.00756  -0.0858   0.9668   0.0153
 -12.500  -0.9953   0.01109   0.00742  -0.0855   0.9617   0.0167
 -12.250  -0.9682   0.01095   0.00730  -0.0853   0.9577   0.0174
 -12.000  -0.9411   0.01082   0.00718  -0.0852   0.9523   0.0179
 -11.750  -0.9142   0.01070   0.00704  -0.0850   0.9454   0.0182
 -11.500  -0.8869   0.01057   0.00692  -0.0849   0.9389   0.0185
 -11.250  -0.8592   0.01047   0.00682  -0.0848   0.9339   0.0188
 -11.000  -0.8317   0.01039   0.00672  -0.0847   0.9266   0.0189
 -10.750  -0.8037   0.01039   0.00672  -0.0847   0.9189   0.0191
 -10.500  -0.7754   0.01038   0.00671  -0.0847   0.9128   0.0193
